VERSION 20070824
PCIDEV 0000 80865af0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
PCIDEV 0010 80865a84 86 91000004 0 8000000c 0 f001 0 c0002 1000000 0 10000000 0 40 0 20000 i915
PCIDEV 0018 80865a88 15 90000004 0 0 0 0 0 0 1000000 0 0 0 0 0 0 
PCIDEV 0078 80865a9a 85 92323004 0 0 0 0 0 0 1000 0 0 0 0 0 0 mei_me
PCIDEV 0090 80865ae3 7e 92310000 92322000 f091 f081 f061 92321000 0 2000 100 8 4 20 800 0 ahci
PCIDEV 0098 80865ad8 78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 pcieport
PCIDEV 0099 80865ad9 79 0 0 0 0 0 0 0 0 0 0 0 0 0 0 pcieport
PCIDEV 009a 80865ada 7a 0 0 0 0 0 0 0 0 0 0 0 0 0 0 pcieport
PCIDEV 009b 80865adb 7b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 pcieport
PCIDEV 00a0 80865ad6 7c 0 0 0 0 0 0 0 0 0 0 0 0 0 0 pcieport
PCIDEV 00a1 80865ad7 7d 0 0 0 0 0 0 0 0 0 0 0 0 0 0 pcieport
PCIDEV 00a8 80865aa8 84 92300004 0 0 0 0 0 0 10000 0 0 0 0 0 0 xhci_hcd
PCIDEV 00b0 80865aac 1b 92320004 0 9231f004 0 0 0 0 1000 0 1000 0 0 0 0 intel-lpss
W 4 1037.803363 1 0x904b0124 0x12 0x0 0
W 4 1037.803383 1 0x904b02c0 0x1 0x0 0
W 4 1037.803403 1 0x904b02c4 0x1 0x0 0
W 4 1037.803423 1 0x904b02c8 0x3 0x0 0
W 4 1037.803442 1 0x904b02d0 0x0 0x0 0
W 4 1037.803462 1 0x904b0128 0x1c 0x0 0
W 4 1037.803482 1 0x904b02e0 0x1 0x0 0
W 4 1037.803521 1 0x904b02e4 0x1 0x0 0
W 4 1037.803541 1 0x904b02e8 0x3 0x0 0
W 4 1037.803561 1 0x904b02f0 0x0 0x0 0
W 4 1037.803581 1 0x904b012c 0x24 0x0 0
W 4 1037.803601 1 0x904b0300 0x0 0x0 0
W 4 1037.803620 1 0x904b0304 0x0 0x0 0
W 4 1037.803640 1 0x904b0308 0x0 0x0 0
W 4 1037.803660 1 0x904b0310 0x0 0x0 0
W 4 1037.803680 1 0x904b0130 0x24 0x0 0
W 4 1037.803699 1 0x904b0320 0x1 0x0 0
W 4 1037.803719 1 0x904b0324 0x1 0x0 0
W 4 1037.803739 1 0x904b0328 0x3 0x0 0
W 4 1037.803759 1 0x904b0330 0x0 0x0 0
W 4 1037.803778 1 0x904b0134 0x28 0x0 0
W 4 1037.803798 1 0x904b0340 0x1 0x0 0
W 4 1037.803820 1 0x904b0344 0x1 0x0 0
W 4 1037.803840 1 0x904b0348 0x1 0x0 0
W 4 1037.803860 1 0x904b0350 0x0 0x0 0
W 4 1037.803880 1 0x904b0138 0x2c 0x0 0
W 4 1037.803900 1 0x904b0360 0x1 0x0 0
W 4 1037.803920 1 0x904b0364 0x1 0x0 0
W 4 1037.803940 1 0x904b0368 0x3 0x0 0
W 4 1037.803961 1 0x904b0370 0x0 0x0 0
W 4 1037.803980 1 0x904b013c 0x38 0x0 0
W 4 1037.804000 1 0x904b0380 0x0 0x0 0
W 4 1037.804020 1 0x904b0384 0x0 0x0 0
W 4 1037.804039 1 0x904b0388 0x0 0x0 0
W 4 1037.804059 1 0x904b0390 0x0 0x0 0
W 4 1037.804079 1 0x904b0140 0x38 0x0 0
W 4 1037.804098 1 0x904b03a0 0x0 0x0 0
W 4 1037.804118 1 0x904b03a4 0x0 0x0 0
W 4 1037.804138 1 0x904b03a8 0x0 0x0 0
W 4 1037.804157 1 0x904b03b0 0x0 0x0 0
W 4 1037.804177 1 0x904b0144 0x38 0x0 0
W 4 1037.804197 1 0x904b03c0 0x0 0x0 0
W 4 1037.804217 1 0x904b03c4 0x0 0x0 0
W 4 1037.804236 1 0x904b03c8 0x0 0x0 0
W 4 1037.804256 1 0x904b03d0 0x0 0x0 0
W 4 1037.804276 1 0x904b0148 0x38 0x0 0
W 4 1037.804295 1 0x904b03e0 0x0 0x0 0
W 4 1037.804315 1 0x904b03e4 0x0 0x0 0
W 4 1037.804337 1 0x904b03e8 0x0 0x0 0
W 4 1037.804357 1 0x904b03f0 0x0 0x0 0
W 4 1037.804377 1 0x904b0400 0x1 0x0 0
W 4 1037.804397 1 0x904b014c 0x0 0x0 0
W 4 1037.804417 1 0x904b0150 0x2 0x0 0
W 4 1037.804437 1 0x904b0154 0x4 0x0 0
W 4 1037.804457 1 0x904b0158 0x6 0x0 0
W 4 1037.804477 1 0x904b015c 0x8 0x0 0
W 4 1037.804512 1 0x904b0160 0xa 0x0 0
W 4 1037.804533 1 0x904b0164 0xc 0x0 0
W 4 1037.804553 1 0x904b0168 0xe 0x0 0
W 4 1037.804573 1 0x904b016c 0x10 0x0 0
W 4 1037.804593 1 0x904b0170 0x12 0x0 0
W 4 1037.804613 1 0x904b0174 0x14 0x0 0
W 4 1037.804632 1 0x904b0178 0x16 0x0 0
W 4 1037.804652 1 0x904b017c 0x18 0x0 0
W 4 1037.804672 1 0x904b0180 0x1a 0x0 0
W 4 1037.804692 1 0x904b0184 0x1c 0x0 0
W 4 1037.804711 1 0x904b0188 0x1e 0x0 0
W 4 1037.804731 1 0x904b0604 0x12155 0x0 0
W 4 1037.804751 1 0x904b0608 0x0 0x0 0
W 4 1037.804770 1 0x904b060c 0x0 0x0 0
W 4 1037.804790 1 0x904b0700 0x0 0x0 0
W 4 1037.804810 1 0x904b0704 0x0 0x0 0
W 4 1037.804830 1 0x904b0708 0x0 0x0 0
W 4 1037.804850 1 0x904b0710 0x0 0x0 0
W 4 1037.804871 1 0x904b0610 0x0 0x0 0
W 4 1037.804892 1 0x904b0720 0x0 0x0 0
W 4 1037.804911 1 0x904b0724 0x0 0x0 0
W 4 1037.804931 1 0x904b0728 0x0 0x0 0
W 4 1037.804951 1 0x904b0730 0x0 0x0 0
W 4 1037.804971 1 0x904b0614 0x0 0x0 0
W 4 1037.804991 1 0x904b0740 0x0 0x0 0
W 4 1037.805011 1 0x904b0744 0x0 0x0 0
W 4 1037.805030 1 0x904b0748 0x0 0x0 0
W 4 1037.805050 1 0x904b0750 0x0 0x0 0
W 4 1037.805070 1 0x904b0618 0x0 0x0 0
W 4 1037.805089 1 0x904b0760 0x0 0x0 0
W 4 1037.805109 1 0x904b0764 0x0 0x0 0
W 4 1037.805129 1 0x904b0768 0x0 0x0 0
W 4 1037.805149 1 0x904b0770 0x0 0x0 0
W 4 1037.805169 1 0x904b061c 0x0 0x0 0
W 4 1037.805189 1 0x904b0780 0x0 0x0 0
W 4 1037.805209 1 0x904b0784 0x0 0x0 0
W 4 1037.805229 1 0x904b0788 0x0 0x0 0
W 4 1037.805248 1 0x904b0790 0x0 0x0 0
W 4 1037.805268 1 0x904b0620 0x0 0x0 0
W 4 1037.805288 1 0x904b07a0 0x0 0x0 0
W 4 1037.805308 1 0x904b07a4 0x0 0x0 0
W 4 1037.805328 1 0x904b07a8 0x0 0x0 0
W 4 1037.805348 1 0x904b07b0 0x0 0x0 0
W 4 1037.805368 1 0x904b0624 0x0 0x0 0
W 4 1037.805394 1 0x904b07c0 0x0 0x0 0
W 4 1037.805416 1 0x904b07c4 0x0 0x0 0
W 4 1037.805436 1 0x904b07c8 0x0 0x0 0
W 4 1037.805455 1 0x904b07d0 0x0 0x0 0
W 4 1037.805475 1 0x904b0628 0x0 0x0 0
W 4 1037.805505 1 0x904b07e0 0x0 0x0 0
W 4 1037.805525 1 0x904b07e4 0x0 0x0 0
W 4 1037.805545 1 0x904b07e8 0x0 0x0 0
W 4 1037.805565 1 0x904b07f0 0x0 0x0 0
W 4 1037.805585 1 0x904b062c 0x0 0x0 0
W 4 1037.805604 1 0x904b0800 0x1 0x0 0
W 4 1037.805624 1 0x904b0804 0x1 0x0 0
W 4 1037.805644 1 0x904b0808 0x3 0x0 0
W 4 1037.805664 1 0x904b0810 0x0 0x0 0
W 4 1037.805684 1 0x904b0630 0x8 0x0 0
W 4 1037.805703 1 0x904b0820 0x0 0x0 0
W 4 1037.805723 1 0x904b0824 0x0 0x0 0
W 4 1037.805743 1 0x904b0828 0x0 0x0 0
W 4 1037.805763 1 0x904b0830 0x0 0x0 0
W 4 1037.805783 1 0x904b0634 0x8 0x0 0
W 4 1037.805803 1 0x904b0840 0x0 0x0 0
W 4 1037.805823 1 0x904b0844 0x0 0x0 0
W 4 1037.805843 1 0x904b0848 0x0 0x0 0
W 4 1037.805863 1 0x904b0850 0x0 0x0 0
W 4 1037.805883 1 0x904b0638 0x8 0x0 0
W 4 1037.805902 1 0x904b0860 0x0 0x0 0
W 4 1037.805924 1 0x904b0864 0x0 0x0 0
W 4 1037.805944 1 0x904b0868 0x0 0x0 0
W 4 1037.805964 1 0x904b0870 0x0 0x0 0
W 4 1037.805984 1 0x904b063c 0x8 0x0 0
W 4 1037.806004 1 0x904b0880 0x1 0x0 0
W 4 1037.806024 1 0x904b0884 0x0 0x0 0
W 4 1037.806043 1 0x904b0888 0x0 0x0 0
W 4 1037.806063 1 0x904b0890 0x0 0x0 0
W 4 1037.806083 1 0x904b0640 0x18 0x0 0
W 4 1037.806103 1 0x904b08a0 0x1 0x0 0
W 4 1037.806123 1 0x904b08a4 0x1 0x0 0
W 4 1037.806142 1 0x904b08a8 0x0 0x0 0
W 4 1037.806162 1 0x904b08b0 0x1 0x0 0
W 4 1037.806182 1 0x904b0644 0x24 0x0 0
W 4 1037.806202 1 0x904b08c0 0x1 0x0 0
W 4 1037.806206 1 0x904b08c4 0x1 0x0 0
W 4 1037.806208 1 0x904b08c8 0x0 0x0 0
W 4 1037.806210 1 0x904b08d0 0x1 0x0 0
W 4 1037.806212 1 0x904b0648 0x30 0x0 0
W 4 1037.806214 1 0x904b08e0 0x1 0x0 0
W 4 1037.806215 1 0x904b08e4 0x1 0x0 0
W 4 1037.806217 1 0x904b08e8 0x0 0x0 0
W 4 1037.806219 1 0x904b08f0 0x1 0x0 0
W 4 1037.806221 1 0x904b0900 0x1 0x0 0
W 4 1037.806223 1 0x904b064c 0x0 0x0 0
W 4 1037.806225 1 0x904b0650 0x2 0x0 0
W 4 1037.806227 1 0x904b0654 0x4 0x0 0
W 4 1037.806228 1 0x904b0658 0x6 0x0 0
W 4 1037.806230 1 0x904b065c 0x8 0x0 0
W 4 1037.806232 1 0x904b0660 0xa 0x0 0
W 4 1037.806234 1 0x904b0664 0xc 0x0 0
W 4 1037.806236 1 0x904b0668 0xe 0x0 0
W 4 1037.806238 1 0x904b066c 0x10 0x0 0
W 4 1037.806240 1 0x904b0670 0x12 0x0 0
W 4 1037.806242 1 0x904b0674 0x14 0x0 0
W 4 1037.806243 1 0x904b0678 0x16 0x0 0
W 4 1037.806245 1 0x904b067c 0x18 0x0 0
W 4 1037.806247 1 0x904b0680 0x1a 0x0 0
W 4 1037.806249 1 0x904b0684 0x1c 0x0 0
W 4 1037.806251 1 0x904b0688 0x1e 0x0 0
R 4 1037.807925 1 0x90000300 0x37002 0x0 0
W 4 1037.807957 1 0x90000038 0x0 0x0 0
R 4 1037.807962 1 0x9000005c 0xfa72333 0x0 0
R 4 1037.807985 1 0x9000000c 0x10 0x0 0
W 4 1037.808005 1 0x9000000c 0x10 0x0 0
R 4 1037.816727 1 0x9000005c 0xa72433 0x0 0
W 4 1037.816735 1 0x90000034 0x0 0x0 0
R 4 1037.816738 1 0x9000005c 0xa72433 0x0 0
R 4 1037.817015 1 0x9000005c 0x72443 0x0 0
R 4 1038.256930 1 0x9000000c 0x10 0x0 0
W 4 1038.257042 1 0x9000000c 0x10 0x0 0
W 4 1038.257082 1 0x9000009c 0x17 0x0 0
W 4 1038.257127 1 0x90000098 0x17 0x0 0
W 4 1038.257164 1 0x90000008 0xfff0fff 0x0 0
W 4 1038.257246 1 0x901e0004 0x12199 0x0 0
W 4 1038.257285 1 0x901e0008 0x10 0x0 0
W 4 1038.257322 1 0x901e0104 0x12199 0x0 0
W 4 1038.257357 1 0x901e0108 0x0 0x0 0
W 4 1038.257393 1 0x901e010c 0x0 0x0 0
W 4 1038.257429 1 0x901e0200 0x1 0x0 0
W 4 1038.257465 1 0x901e0204 0x0 0x0 0
W 4 1038.257529 1 0x901e0208 0x0 0x0 0
W 4 1038.257590 1 0x901e0210 0x0 0x0 0
W 4 1038.257623 1 0x901e0110 0x8 0x0 0
W 4 1038.257656 1 0x901e0220 0x1 0x0 0
W 4 1038.257689 1 0x901e0224 0x1 0x0 0
W 4 1038.257722 1 0x901e0228 0x3 0x0 0
W 4 1038.257755 1 0x901e0230 0x0 0x0 0
W 4 1038.257787 1 0x901e0114 0x18 0x0 0
W 4 1038.257820 1 0x901e0240 0x1 0x0 0
W 4 1038.257853 1 0x901e0244 0x1 0x0 0
W 4 1038.257885 1 0x901e0248 0x3 0x0 0
W 4 1038.257918 1 0x901e0250 0x0 0x0 0
W 4 1038.257951 1 0x901e0118 0x28 0x0 0
W 4 1038.257984 1 0x901e0260 0x1 0x0 0
W 4 1038.258016 1 0x901e0264 0x1 0x0 0
W 4 1038.258049 1 0x901e0268 0x3 0x0 0
W 4 1038.258082 1 0x901e0270 0x0 0x0 0
W 4 1038.258135 1 0x901e011c 0x38 0x0 0
W 4 1038.258170 1 0x901e0280 0x0 0x0 0
W 4 1038.258203 1 0x901e0284 0x0 0x0 0
W 4 1038.258236 1 0x901e0288 0x0 0x0 0
W 4 1038.258268 1 0x901e0290 0x0 0x0 0
W 4 1038.258301 1 0x901e0120 0x38 0x0 0
W 4 1038.258334 1 0x901e02a0 0x0 0x0 0
W 4 1038.258366 1 0x901e02a4 0x0 0x0 0
W 4 1038.258400 1 0x901e02a8 0x0 0x0 0
W 4 1038.258434 1 0x901e02b0 0x0 0x0 0
W 4 1038.258467 1 0x901e0124 0x38 0x0 0
W 4 1038.258515 1 0x901e02c0 0x0 0x0 0
W 4 1038.258549 1 0x901e02c4 0x0 0x0 0
W 4 1038.258582 1 0x901e02c8 0x0 0x0 0
W 4 1038.258615 1 0x901e02d0 0x0 0x0 0
W 4 1038.258647 1 0x901e0128 0x38 0x0 0
W 4 1038.258680 1 0x901e02e0 0x0 0x0 0
W 4 1038.258713 1 0x901e02e4 0x0 0x0 0
W 4 1038.258746 1 0x901e02e8 0x0 0x0 0
W 4 1038.258778 1 0x901e02f0 0x0 0x0 0
W 4 1038.258811 1 0x901e012c 0x38 0x0 0
W 4 1038.258844 1 0x901e0300 0x0 0x0 0
W 4 1038.258877 1 0x901e0304 0x0 0x0 0
W 4 1038.258909 1 0x901e0308 0x0 0x0 0
W 4 1038.258942 1 0x901e0310 0x0 0x0 0
W 4 1038.258975 1 0x901e0130 0x38 0x0 0
W 4 1038.259011 1 0x901e0320 0x0 0x0 0
W 4 1038.259044 1 0x901e0324 0x0 0x0 0
W 4 1038.259077 1 0x901e0328 0x0 0x0 0
W 4 1038.259110 1 0x901e0330 0x0 0x0 0
W 4 1038.259143 1 0x901e0134 0x38 0x0 0
W 4 1038.259176 1 0x901e0340 0x0 0x0 0
W 4 1038.259208 1 0x901e0344 0x0 0x0 0
W 4 1038.259241 1 0x901e0348 0x0 0x0 0
W 4 1038.259274 1 0x901e0350 0x0 0x0 0
W 4 1038.259306 1 0x901e0138 0x38 0x0 0
W 4 1038.259341 1 0x901e0360 0x0 0x0 0
W 4 1038.259375 1 0x901e0364 0x0 0x0 0
W 4 1038.259407 1 0x901e0368 0x0 0x0 0
W 4 1038.259440 1 0x901e0370 0x0 0x0 0
W 4 1038.259473 1 0x901e013c 0x38 0x0 0
W 4 1038.259521 1 0x901e0380 0x0 0x0 0
W 4 1038.259555 1 0x901e0384 0x0 0x0 0
W 4 1038.259587 1 0x901e0388 0x0 0x0 0
W 4 1038.259620 1 0x901e0390 0x0 0x0 0
W 4 1038.259653 1 0x901e0140 0x38 0x0 0
W 4 1038.259686 1 0x901e03a0 0x0 0x0 0
W 4 1038.259718 1 0x901e03a4 0x0 0x0 0
W 4 1038.259751 1 0x901e03a8 0x0 0x0 0
W 4 1038.259784 1 0x901e03b0 0x0 0x0 0
W 4 1038.259816 1 0x901e0144 0x38 0x0 0
W 4 1038.259849 1 0x901e03c0 0x0 0x0 0
W 4 1038.259885 1 0x901e03c4 0x0 0x0 0
W 4 1038.259918 1 0x901e03c8 0x0 0x0 0
W 4 1038.259951 1 0x901e03d0 0x0 0x0 0
W 4 1038.259984 1 0x901e0148 0x38 0x0 0
W 4 1038.260017 1 0x901e03e0 0x0 0x0 0
W 4 1038.260049 1 0x901e03e4 0x0 0x0 0
W 4 1038.260082 1 0x901e03e8 0x0 0x0 0
W 4 1038.260115 1 0x901e03f0 0x0 0x0 0
W 4 1038.260147 1 0x901e0400 0x1 0x0 0
W 4 1038.260180 1 0x901e014c 0x0 0x0 0
W 4 1038.260213 1 0x901e0150 0x2 0x0 0
W 4 1038.260246 1 0x901e0154 0x4 0x0 0
W 4 1038.260279 1 0x901e0158 0x6 0x0 0
W 4 1038.260312 1 0x901e015c 0x8 0x0 0
W 4 1038.260344 1 0x901e0160 0xa 0x0 0
W 4 1038.260377 1 0x901e0164 0xc 0x0 0
W 4 1038.260410 1 0x901e0168 0xe 0x0 0
W 4 1038.260442 1 0x901e016c 0x10 0x0 0
W 4 1038.260475 1 0x901e0170 0x12 0x0 0
W 4 1038.260522 1 0x901e0174 0x14 0x0 0
W 4 1038.260556 1 0x901e0178 0x16 0x0 0
W 4 1038.260589 1 0x901e017c 0x18 0x0 0
W 4 1038.260622 1 0x901e0180 0x1a 0x0 0
W 4 1038.260655 1 0x901e0184 0x1c 0x0 0
W 4 1038.260687 1 0x901e0188 0x1e 0x0 0
R 4 1038.273575 1 0x90000300 0x37002 0x0 0
R 4 1038.274046 1 0x90000300 0x37002 0x0 0
R 4 1038.276364 1 0x90000300 0x37002 0x0 0
R 4 1038.281746 1 0x90000300 0x37002 0x0 0
R 4 1038.282030 1 0x90000300 0x37002 0x0 0
R 4 1038.283605 1 0x90000300 0x37002 0x0 0
R 4 1038.294493 1 0x90000300 0x37002 0x0 0
R 4 1038.296609 1 0x90000300 0x37002 0x0 0
R 4 1038.297367 1 0x90000300 0x37002 0x0 0
R 4 1038.334590 1 0x9000000c 0x10 0x0 0
W 4 1038.334601 1 0x9000000c 0x10 0x0 0
W 4 1038.334603 1 0x9000009c 0x17 0x0 0
W 4 1038.334605 1 0x90000098 0x17 0x0 0
W 4 1038.334607 1 0x90000008 0xfff0fff 0x0 0
R 4 1038.334612 1 0x90000300 0x37002 0x0 0
R 4 1038.358601 1 0x9000000c 0x10 0x0 0
W 4 1038.358682 1 0x9000000c 0x10 0x0 0
W 4 1038.358704 1 0x9000009c 0x17 0x0 0
W 4 1038.358725 1 0x90000098 0x17 0x0 0
W 4 1038.358745 1 0x90000008 0xfff0fff 0x0 0
